Context,Request,Network Function,Profile Network Function,SUPI,UUID,PDU Session ID,Metric,Expected Function,Expected Inputs
I want to get the status of the N2 interface between AMF and NGAP,Get the status of the N2 interface between AMF and NGAP,amf,None,None,None,None,None,get_amf_ngap_status,"{""nf"": ""amf""}"
I need to check the status of the interface between AMF and NGAP,What is the status of the interface between AMF and NGAP?,amf,None,None,None,None,None,get_amf_ngap_status,"{""nf"": ""amf""}"
I want to verify the status of the interface between AMF and NGAP,Check the interface status between AMF and NGAP,amf,None,None,None,None,None,get_amf_ngap_status,"{""nf"": ""amf""}"
I need to confirm the current status of the N2 interface between AMF and NGAP,Retrieve the status of the N2 interface between AMF and NGAP,amf,None,None,None,None,None,get_amf_ngap_status,"{""nf"": ""amf""}"
I want to monitor the status of the interface between AMF and NGAP,Is the interface between AMF and NGAP active?,amf,None,None,None,None,None,get_amf_ngap_status,"{""nf"": ""amf""}"
Track latency within the HPE 5G Core,Measure the latency in the HPE 5G Core,kpi,None,None,None,None,latency,get_network_performance,"{""nf"": ""kpi"",""metric"": ""latency""}"
Monitor bandwidth usage within the HPE 5G Core,Check the current throughput in the HPE 5G Core,kpi,None,None,None,None,throughput,get_network_performance,"{""nf"": ""kpi"",""metric"": ""throughput""}"
Observe signal strength within the HPE 5G Core,Assess the signal strength in the HPE 5G Core,kpi,None,None,None,None,signal_strength,get_network_performance,"{""nf"": ""kpi"",""metric"": ""signal_strength""}"
Analyze latency in the HPE 5G Core,What is the current latency in the HPE 5G Core?,kpi,None,None,None,None,latency,get_network_performance,"{""nf"": ""kpi"",""metric"": ""latency""}"
Evaluate bandwidth usage in the HPE 5G Core,What is the current bandwidth usage in the HPE 5G Core?,kpi,None,None,None,None,bandwidth,get_network_performance,"{""nf"": ""kpi"",""metric"": ""bandwidth""}"
I need to gather logs for a network function in the HPE 5G Core,Retrieve logs for the AUSF network function within the HPE 5G Core,ausf,None,None,None,None,None,get_logs,"{""nf"": ""ausf""}"
I'm looking for logs related to a specific network function in the HPE 5G Core,Access the logs for the AUSF network function in the HPE 5G Core,ausf,None,None,None,None,None,get_logs,"{""nf"": ""ausf""}"
It's necessary to obtain logs for a network function in the HPE 5G Core,Fetch logs for the UDM network function within the HPE 5G Core,udm,None,None,None,None,None,get_logs,"{""nf"": ""udm""}"
Can you provide the logs for a network function within the HPE 5G Core?,Check the UDM network function logs within the HPE 5G Core,udm,None,None,None,None,None,get_logs,"{""nf"": ""udm""}"
I want to view the logs of a specific network function in the HPE 5G Core,What are the UDM logs in the HPE 5G Core?,udm,None,None,None,None,None,get_logs,"{""nf"": ""udm""}"
I'm looking to find the location of a target UE within the HPE 5G Core,Get the location of the UE imsi-001010000000001 of the PDU session 1,smf,None,imsi-001010000000001,None,1,None,get_supi_location,"{""nf"": ""smf"",""supi"": ""imsi-001010000000001"",""pdu_session_id"": ""1""}"
We need to retrieve the location of a target UE based on its SUPI ID and PDU session,Retrieve the location of the first UE in the PDU session 1,smf,None,imsi-001010000000001,None,1,None,get_supi_location,"{""nf"": ""smf"",""supi"": ""imsi-001010000000001"",""pdu_session_id"": ""1""}"
I need to identify the location of a target UE in the HPE 5G Core having SUPI ID and PDU session,Fetch the target UE location based on imsi-001010000000001 of the PDU session 1,smf,None,imsi-001010000000001,None,1,None,get_supi_location,"{""nf"": ""smf"",""supi"": ""imsi-001010000000001"",""pdu_session_id"": ""1""}"
Can you help me determine the location of a target UE using the SUPI ID and PDU session?,What is the location of the first UE and PDU session 1?,smf,None,imsi-001010000000001,None,1,None,get_supi_location,"{""nf"": ""smf"",""supi"": ""imsi-001010000000001"",""pdu_session_id"": ""1""}"
I need to retrieve the details of a specific data profile in the HPE 5G Core,Retrieve details of the first data profile,udr,None,imsi-001010000000001,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,get_dataprofile,"{""nf"": ""udr"",""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
I'm looking to get information about a particular data profile in the HPE 5G Core,Fetch details of the second data profile,udr,None,imsi-0010100000213,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,get_dataprofile,"{""nf"": ""udr"",""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
It'sessential to gather details for a data profile within the HPE 5G Core,Get details of the data profile using 60c86889-c348-4ebe-8fdc-26b6d9551845,udr,None,None,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,get_dataprofile,"{""nf"": ""udr"",""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
Can you provide the details for a specific data profile in the HPE 5G Core,Access details of the data profile using a47a045a-6b39-4172-bbeb-47ec64a60b38,udr,None,None,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,get_dataprofile,"{""nf"": ""udr"",""uuid"": ""a47a045a-6b39-4172-bbeb-47ec64a60b38""}"
I want to check the details of a data profile in the HPE 5G Core,What are the details of the first data profile ?,udr,None,None,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,get_dataprofile,"{""nf"": ""udr"",""uuid"": ""60c86889-c348-4ebe-8fdc-26b6d9551845""}"
I need to retrieve details of an authorized device/user within the HPE 5G Core,Get details of the authorized first device/user,udm,None,None,60c86889-c348-4ebe-8fdc-26b6d9551845,None,None,get_supi,"{""nf"": ""udm"",""supi"": ""imsi-001010000021309""}"
I'm looking to obtain information about an authorized device/user in the HPE 5G Core,Retrieve details of the second authorized device/user,udm,None,None,a47a045a-6b39-4172-bbeb-47ec64a60b38,None,None,get_supi,"{""nf"": ""udm"",""supi"": ""imsi-0010100000213""}"
It's important to gather details of an authorized device/user in the HPE 5G Core,Fetch details of the authorized device/user imsi-001010000000001,udm,None,imsi-001010000000001,None,None,None,get_supi,"{""nf"": ""udm"",""supi"": ""imsi-001010000000001""}"
Can you provide the details of an authorized device/user in the HPE 5G Core,Access details of the authorized device/user imsi-001010000000001,udm,None,imsi-001010000000001,None,None,None,get_supi,"{""nf"": ""udm"",""supi"": ""imsi-001010000000001""}"
I want to check the details of an authorized device/user within the HPE 5G Core,What are the details of the first authorized device/user?,udm,None,imsi-001010000021309,None,None,None,get_supi,"{""nf"": ""udm"",""supi"": ""imsi-001010000021309""}"
I need to check the profile status of a network function in the HPE 5G Core,Access the profile status of the UDM network function,nrf,udm,None,None,None,None,get_nf_profile,"{""nf"": ""nrf"",""target_nf"": ""udm""}"
I'm looking to retrieve the profile status of a specific network function in the HPE 5G Core,Get the profile status of the AMF network function,nrf,amf,None,None,None,None,get_nf_profile,"{""nf"": ""nrf"",""target_nf"": ""amf""}"
It's important to verify the profile status of a network function within the HPE 5G Core,Fetch the profile status of the SMF network function,nrf,smf,None,None,None,None,get_nf_profile,"{""nf"": ""nrf"",""target_nf"": ""smf""}"
Can you provide the profile status for a specific network function in the HPE 5G Core?,Check the profile status of the UDM network function,nrf,udm,None,None,None,None,get_nf_profile,"{""nf"": ""nrf"",""target_nf"": ""udm""}"
I want to see the profile status of a network function operating in the HPE 5G Core,What is the profile status of the AMF network function?,nrf,amf,None,None,None,None,get_nf_profile,"{""nf"": ""nrf"",""target_nf"": ""amf""}"
I need to retrieve the list of authorized devices/users for the HPE 5G Core,Get the list of authorized devices/users,udm,None,None,None,None,None,get_supis,"{""nf"": ""udm""}"
I'm looking for a list of users and devices allowed to access the HPE 5G Core,Fetch the list of authorized devices/users,udm,None,None,None,None,None,get_supis,"{""nf"": ""udm""}"
It's important to verify which devices and users are permitted in the HPE 5G Core,Retrieve the list of authorized devices/users,udm,None,None,None,None,None,get_supis,"{""nf"": ""udm""}"
Can you provide the list of authorized users and devices for the HPE 5G Core?,Access the list of authorized devices/users,udm,None,None,None,None,None,get_supis,"{""nf"": ""udm""}"
I want to check which devices and users are authorized within the HPE 5G Core,What is the list of authorized devices/users?,udm,None,None,None,None,None,get_supis,"{""nf"": ""udm""}"
